trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",35,10,-147.16656774325196,"{0: 11, 1: 3, 2: 9, 3: 1, 4: 1}",1
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",30,0,-155.06392506720834,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,4,-106.11987421544666,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 1}",1
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",25,0,-118.24704009638755,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",25,0,-87.4939117240066,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,0,-121.40517502978969,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,0,-116.75331394018508,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-200.78867049019678,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-183.0933499643057,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",20,3,-119.10013882839175,"{0: 7, 1: 3, 2: 5, 3: 1, 4: 1}",1
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-56.123578574370065,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",25,7,-137.06915079015866,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 3}",1
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-98.87510807895475,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,0,-189.87248355698372,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",35,0,-184.7070675861036,"{0: 21, 1: 6, 2: 5, 3: 0, 4: 3}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",30,0,-123.88060037767885,"{0: 17, 1: 4, 2: 8, 3: 0, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-69.7991855080884,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,0,-161.06749839003487,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",25,19,-1.8756632013306649,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
