trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-176.03464233065003,"{0: 20, 1: 1, 2: 5, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.89888250810326,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-165.3113059204217,"{0: 13, 1: 0, 2: 8, 3: 3, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.70337846127379,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.2545179600842,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-179.0965985716712,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-138.90017980706645,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.86731584018418,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-65.79956389249627,"{0: 14, 1: 6, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,8,-22.633773829892956,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.6224034404737,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.25106242797006,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.675349023283964,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-188.76107125989617,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-44.446433990556216,"{0: 16, 1: 6, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,15,-26.031045813308765,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-172.48394314053274,"{0: 12, 1: 6, 2: 4, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",35,0,-146.34377190485944,"{0: 24, 1: 2, 2: 6, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-201.62961750686705,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.50178407245849,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-244.48839597434417,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 5}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-148.5483659021689,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-133.29150662204023,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-236.15422797644837,"{0: 11, 1: 2, 2: 8, 3: 0, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",35,9,-82.1804050684604,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 1}",1
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-161.07287105065808,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-121.56355425949062,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-130.07236882864277,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-189.9356779569234,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-109.49341147232046,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
